id_municipio,id_municipio_tse
2104909,7951
2111201,8893
2111300,9210
2109452,8168
2107506,8494
2107100,8419
2109601,8915
2109205,8818
2105104,7994
2102374,7226
2101251,7129
2110203,9016
2101103,7218
2109403,8850
2101707,7331
2110278,8249
2105005,7978
2108058,8044
2112506,9431
2109270,8141
2110500,9075
2108603,8699
2109809,8958
2108256,8060
2108405,8656
2107605,8516
2100709,7137
2101004,7196
2111003,9172
2107456,8028
2108306,8630
2111706,9270
2112803,9490
2106508,8290
2102507,7471
2112902,9512
2105153,7684
2101772,7188
2106904,8370
2103554,7501
2105401,8079
2106755,9695
2109304,8834
2108801,8737
2112704,9474
2102705,7510
2107209,8435
2106631,7943
2112456,8605
2112407,9415
2106201,8230
2102903,7552
2104677,7668
2101970,7323
2103174,7463
2105658,7781
2100550,7080
2102606,7498
2104305,7838
2103158,7447
2106326,7889
2106375,7927
2114007,9717
2109908,9571
2104651,7641
2111029,8303
2100477,7048
2107357,8001
2108504,8672
2110005,8974
2100873,7102
2112274,8583
2102002,9555
2105963,7846
2113009,9539
2108108,9598
2105708,8133
2106359,7900
2102150,7307
2100402,7072
2110039,9652
2109239,8125
2102036,7269
2102325,7340
2103257,7480
2107001,8397
2112852,8621
2111532,8389
2105989,7862
2103752,7242
2102358,7366
2109551,8184
2100600,7110
2104552,7609
2111763,8508
2105302,8036
2105500,8095
2105427,7722
2100055,9610
2110856,8281
2108702,8710
2102077,7285
2105906,8176
2111722,8460
2107407,8478
2101202,7234
2111508,9237
2111409,8052
2101939,7200
2105807,8150
2105948,7803
2111672,8443
2106003,8192
2112233,8567
2108207,8613
2105203,8010
2104008,7773
2111631,8427
2108900,8753
2110302,9032
2105609,8117
2109759,8206
2112308,9393
2104099,7560
2111805,9296
2104081,7544
2101608,7315
2105351,7706
2104800,7935
2100956,9679
2105476,7765
2109106,8796
2104602,7897
2104404,7854
2104503,7870
2104701,7919
2111748,8486
2104206,7811
2104628,7625
2103802,7730
2111250,8362
2110708,9113
2110104,8990
2106300,8257
2100154,7005
2110237,8222
2110609,9091
2100907,7170
2101731,7161
2110401,9059
2103208,7617
2106672,7960
2112605,9458
2102101,7390
2106409,8273
2100808,7153
2102200,7412
2100436,7021
2102754,7404
2108454,8087
2112100,9350
2103307,7633
2103604,7692
2103901,7757
2103406,7650
2100105,7013
2100303,7056
2111078,8346
2103000,7579
2112209,9377
2106607,8311
2102309,7439
2107803,8559
2105922,7820
2108009,8591
2110906,9156
2101509,7293
2107902,8575
2111102,9199
2111953,8540
2107308,8451
2107704,8532
2111904,9318
2106706,8338
2105450,7749
2103505,7676
2102556,7382
2111052,8320
2104057,9636
2109007,8770
2111573,8400
2102804,7536
2101400,7277
2100501,7099
2112001,9334
2104073,7528
2109502,8877
2110658,8265
2101806,7358
2110807,9130
2104107,7790
2109700,8931
2111607,9253
2106102,8214
2107258,7986
2206209,11231
2202059,10120
2201200,10235
2202174,10740
2208502,11690
2201770,10669
2206803,11355
2208403,11673
2201960,10006
2205458,12408
2205805,11150
2201507,10294
2203701,10731
2205409,11070
2206100,11215
2209971,10987
2206670,12459
2205854,12440
2206696,12475
2202083,12572
2207702,11533
2205706,11134
2202729,12696
2202000,10391
2204659,10820
2202539,12670
2201919,10065
2202653,12688
2202703,10537
2209872,12009
2210052,10529
2208304,11657
2207793,12718
2203305,10650
2206720,12726
2202737,10189
2205557,10324
2206407,11274
2203255,12580
2201606,10316
2211001,12190
2205508,11096
2211100,12211
2200400,10073
2205581,12424
2206308,11258
2206951,10901
2200301,10057
2202026,10103
2202208,10430
2206753,10928
2201051,12106
2210656,10545
2202604,10510
2210409,12076
2205276,12394
2201945,12149
2205516,12416
2209906,11975
2202711,12360
2205573,10863
2206357,12246
2202406,10472
2207900,11576
2203420,11410
2205250,10308
2207108,12483
2200608,10111
2200509,10090
2209450,12653
2210508,12092
2207504,11495
2205540,12432
2201408,10278
2207751,10405
2200103,10014
2204600,10910
2200202,10030
2208809,11754
2209807,11959
2201002,10197
2204105,10812
2204006,10790
2209609,11916
2208601,11711
2210383,12661
2211407,12270
2203503,10693
2201176,10600
2205599,12220
2204709,10936
2211308,12254
2200905,10170
2206902,11371
2208106,11614
2209153,10448
2209203,11835
2208908,11770
2201150,10049
2211209,12238
2202752,10200
2208551,12599
2205607,11118
2206001,11193
2210631,12068
2205904,11177
2200806,10154
2201705,10332
2203602,10715
2210391,12700
2205102,11010
2204501,10898
2209708,11932
2210102,12017
2202251,10162
2203909,10774
2205300,11053
2206704,11339
2207850,12289
2203800,10758
2209005,11797
2209757,12610
2204402,10871
2206605,11312
2201309,10251
2201903,10375
2209302,11851
2208700,11738
2207405,11479
2203107,10618
2200459,12084
2203230,10766
2202505,10499
2205532,10847
2204550,10804
2203453,10685
2203354,12297
2211357,10588
2210359,10561
2209559,10502
2202851,10243
2210607,12114
2201929,10081
2203750,10260
2200707,10138
2201988,10642
2207355,12262
2202307,10456
2210953,12530
2205524,12203
2202901,10570
2210623,12041
2208858,12300
2203008,10596
2203206,10634
2206654,10880
2207603,11517
2201101,10219
2204808,10952
2209856,11088
2203404,10677
2209351,10480
2210375,12629
2209104,11819
2204352,10782
2208007,11592
2200954,12734
2201804,10359
2210938,12513
2211704,12564
2210201,12033
2207553,10944
2210979,12521
2202778,10227
2202075,12343
2207009,11398
2209377,10464
2209955,12025
2210300,12050
2206506,11290
2204204,10839
2200251,12319
2208205,11630
2209401,11878
2200277,10022
2202091,10146
2202133,10723
2205201,11037
2204303,10855
2207207,11436
2206050,12467
2204907,10979
2205003,10995
2211506,12556
2211605,12548
2204154,12378
2205953,10367
2201572,12335
2207801,11550
2202554,12165
2207777,10383
2208650,10421
2205151,10286
2200053,12327
2201739,12122
2210706,12130
2203271,12181
2209500,11894
2203859,12637
2207306,11452
2210904,12173
2210805,12157
2202802,10553
2202109,10413
2209658,12505
2201556,10626
2205565,10340
2210003,11991
2207959,10960
2202117,12351
2205359,12386
2207934,12491
2208874,12602
2202455,10707
2308906,14796
2307908,14591
2307254,13005
2306553,15954
2302305,13455
2300200,13030
2307809,14575
2304251,15890
2303907,13773
2304707,13951
2302057,13404
2302602,13510
2305308,14079
2303402,13676
2313609,15733
2314102,15830
2313401,15695
2312304,15474
2305001,14010
2304236,15881
2313906,15792
2304509,13919
2304004,13811
2308807,14770
2308203,14656
2300507,13099
2308377,14680
2306108,14230
2304657,13064
2312809,15571
2308005,14613
2312007,15415
2312908,15598
2309904,14990
2303105,13617
2304905,13994
2304350,15911
2309003,14818
2311009,15210
2311702,15350
2313955,98574
2305902,14192
2310951,13048
2305803,14176
2312205,15458
2303659,13447
2305209,14052
2306405,14290
2313500,15717
2300754,15873
2310258,15997
2310209,15059
2312403,15490
2313559,13080
2313807,15776
2313757,98558
2306306,14273
2312601,15539
2310704,15156
2313351,13323
2304608,13935
2300903,13170
2310407,15091
2303006,13595
2306603,14338
2302800,13552
2310100,15032
2306504,14311
2309102,14834
2300150,13145
2309805,14974
2301406,13277
2311603,15334
2302909,13579
2301208,13234
2305100,14036
2302107,13412
2303956,13161
2309458,13307
2301950,13129
2310852,13285
2302206,13439
2303501,13692
2303709,13730
2306256,13480
2309706,14958
2304400,13897
2307650,15857
2307700,14559
2304954,13242
2301000,13196
2304285,13226
2309607,14931
2305233,13188
2313203,15652
2309300,14877
2308609,14737
2309409,14893
2304103,13838
2305654,13340
2311264,13102
2301257,13420
2305605,14133
2302404,13471
2307635,13021
2303931,13463
2301851,13382
2311405,15296
2311306,15270
2305266,14060
2311900,15393
2303600,13714
2300408,13072
2301505,13293
2310308,15075
2313302,15679
2308351,15970
2310506,15113
2313005,15610
2312700,15555
2304269,15989
2308500,14710
2310902,15199
2300309,13056
2305357,15938
2304459,13501
2301109,13218
2306207,14257
2305332,15920
2300705,13137
2312502,15512
2311801,15377
2313104,15636
2311504,15318
2310001,15016
2307601,14532
2308708,14753
2307007,14419
2306801,14370
2306702,14354
2306900,14397
2311231,13269
2306009,14214
2310803,15172
2304277,13200
2311355,98531
2303808,13757
2305506,14117
2309508,14915
2305407,14095
2303303,13650
2307403,14494
2313252,13366
2300804,13153
2314003,15814
2305704,14150
2301802,13358
2313708,15750
2307502,14516
2311959,15440
2311207,15253
2302701,13536
2301604,13315
2301307,13250
2304806,13978
2304301,13870
2300606,13110
2303204,13633
2301703,13331
2302008,13390
2308104,14630
2312106,15431
2308401,14699
2307106,14435
2304202,13854
2307304,14478
2301901,13374
2309201,14850
2311108,15237
2308302,14672
2307205,14451
2310605,15130
2302503,13498
2300101,13013
2413359,16020
2404408,16853
2408003,17590
2401107,16217
2401453,30031
2411056,16225
2404309,16837
2401008,16195
2402303,16454
2403707,16730
2405207,17019
2414605,18899
2401305,16250
2407609,17213
2408706,17736
2414456,16128
2406106,17191
2400208,16039
2404853,16080
2402501,16497
2400703,16136
2409902,17973
2410256,16284
2412807,18538
2404705,16918
2400406,16071
2403202,16632
2410801,18139
2412500,18473
2407252,16160
2407005,17396
2403301,16659
2402907,16578
2414753,16187
2413607,18694
2411007,18171
2404903,16950
2409407,17876
2400505,16098
2411908,18210
2406007,17175
2408607,17710
2414100,18791
2413805,18732
2410504,18090
2407302,17450
2403905,16772
2414902,18970
2410009,17990
2410207,18031
2410702,18112
2400901,16179
2404002,17515
2414506,18872
2400604,16110
2408409,17671
2410603,18937
2409308,17850
2405900,17159
2406908,17370
2407401,17477
2413557,16209
2401859,16047
2404101,16799
2411601,18317
2407203,17434
2404507,16870
2409704,17930
2405504,17078
2409605,17914
2401909,16373
2400307,16055
2400802,16152
2403756,16144
2406700,17337
2406502,17299
2413003,18570
2414159,16004
2402709,16535
2401651,16101
2403806,16756
2411403,18279
2402006,16390
2405603,17094
2412104,18392
2404804,16934
2413409,18651
2411809,18350
2414308,18830
2411429,18252
2412401,18457
2408904,17779
2408508,17698
2403004,16594
2403400,16675
2405702,17116
2402402,16470
2403103,16616
2400109,16012
2410108,18015
2401602,16314
2405108,16993
2408805,17752
2405801,17132
2412302,18430
2407906,17574
2413300,18635
2402808,16551
2405405,17051
2411700,18333
2405009,16977
2414001,18775
2402105,16411
2413706,18716
2411205,18236
2406809,17353
2401503,16292
2412906,18554
2406403,17272
2411106,18198
2414803,18953
2407807,17558
2404606,16896
2406601,17310
2401800,16357
2406155,16306
2401701,16330
2409209,17833
2409100,17817
2410306,18058
2406304,17256
2406205,17230
2411502,18295
2405306,17035
2408300,17655
2413508,18678
2414704,18910
2413102,18597
2410900,18155
2412708,18511
2409332,16241
2412609,18490
2410405,18074
2413904,18759
2412559,16063
2414407,18856
2407500,17493
2408953,16268
2409506,17892
2408201,17639
2402600,16519
2412005,18376
2407104,17418
2412203,18414
2403251,17795
2403608,16713
2408102,17612
2413201,18619
2409803,17957
2401404,16276
2414209,18813
2415008,18996
2403509,16691
2401206,16233
2404200,16810
2407708,17531
2402204,16438
2504306,19879
2509370,19488
2512804,21571
2507408,20494
2502904,19593
2502003,19410
2513901,21792
2514651,19542
2502300,19470
2502805,19577
2508109,20630
2513653,19666
2502052,19500
2516904,22390
2512036,19640
